id;name;url;regular_price;promo_price;brand
643528;Сыр Брест-Литовск Легкий полутвердый 35%, 200г;https://online.metro-cc.ru/products/legkij-brest-litovsk-35-200g;199.0;;БРЕСТ-ЛИТОВСК
447547;Сыр Умалат Сулугуни 45%, 280г;https://online.metro-cc.ru/products/suluguni-umalat-45-280-g;296.0;;УМАЛАТ
534743;Сыр творожный Hochland с зеленью 60%, 220г;https://online.metro-cc.ru/products/hochland-s-zelenyu-220g-bzmzh;199.0;209.0;HOCHLAND
206435;Сыр Laime Gold Пармезан 12 месяцев твердый 40%, 180г;https://online.metro-cc.ru/products/180g-syr-parmezan-40-laime-gold-vyderzh-ot-12-m-bzmzh;449.0;359.0;LAIME
621672;METRO Chef Сыр Тильзитер полутвердый нарезка 45%, 1кг;https://online.metro-cc.ru/products/tilziter-45-narezka-metro-chef-1-kg;1.029;1.069;METRO CHEF
644206;METRO Chef Сыр с голубой плесенью, 400г;https://online.metro-cc.ru/products/s-goluboj-metro-chef-400-g;869.0;649.0;METRO CHEF
88242;Сыр Умалат Сулугуни палочки 45%, 120г;https://online.metro-cc.ru/products/suluguni-palochki-umalat-45-120-g;156.0;129.0;УМАЛАТ
132601;Сыр творожный Almette сливочный 60%, 150г;https://online.metro-cc.ru/products/tvorozhnyj-almette-slivochnyj-60-150g-bzmzh;157.0;;ALMETTE
643527;Сыр Брест-Литовск Сливочный полутвердый 50%, 200г;https://online.metro-cc.ru/products/brest-litovsk-slivochnyj-50-200g;199.0;;БРЕСТ-ЛИТОВСК
137419;Сырный продукт Стародуб Тильзитер 45%, ~5.2кг;https://online.metro-cc.ru/products/produkt-syrnyy-starodub-tilziter-45-52kg;539.0;;СТАРОДУБ
526322;Сыр Galbani Маскарпоне, 500г;https://online.metro-cc.ru/products/galbani-maskarpone-500g-bzmzh;849.0;;GALBANI
54369;Сыр Киприно Швейцарский твердый 50%, ~1кг;https://online.metro-cc.ru/products/art-54369;1.389;;КИПРИНО
593263;Сыр President Бри мягкий с белой плесенью 60%, 200г;https://online.metro-cc.ru/products/bri-president-myagkij-s-beloj-60-200-g-bzmzh;589.0;449.0;PRESIDENT
203292;Сыр Laplandia Сливочный полутвердый 45%, 300г;https://online.metro-cc.ru/products/300g-syr-45-laplandia-slivochnyy-kusok-bzmzh;449.0;;LAPLANDIA
24264;Сыр Le Superbe Le Gruyere твердый нарезка 50%, 150г;https://online.metro-cc.ru/products/art-24264;719.0;759.0;LE SUPERBE
215911;Сыр Natura Сливочный легкий полутвердый нарезка 16%, 150г;https://online.metro-cc.ru/products/150g-syr-legkiy-30-natura-narezka-bzmzh;227.0;239.0;NATURA
589171;Сыр Le Superbe Switzerland Swiss полутвердый 49%, ~1кг;https://online.metro-cc.ru/products/lustenberger-lesuperbe-shvejcarskij-3kg-bzmzh;2.279;;LE SUPERBE
223266;METRO Chef Сыр маасдам 45%, 200г;https://online.metro-cc.ru/products/200g-syr-maasdam-45-metro-chef-bzmzh;256.0;;METRO CHEF
44418;Сыр Предгорье Кавказа Адыгейский легкий 30%, 300г;https://online.metro-cc.ru/products/predgorye-adygejskij-legkij-300-g;329.0;;ПРЕДГОРЬЕ КАВКАЗА
626012;Сыр Pretto Чильеджина Моцарелла в воде 45%, 100г;https://online.metro-cc.ru/products/art-626012;119.0;99.0;PRETTO
621730;METRO Chef Сыр Эдам 40%, ~2.5кг;https://online.metro-cc.ru/products/edam-40-metro-chef-vesovoj;789.0;;METRO CHEF
103364;Сыр Hochland Грюнландер полутвердый 50%, 400г;https://online.metro-cc.ru/products/hochland-gryunlander-50-400g;409.0;;HOCHLAND
643530;Сыр Брест-Литовск полутвердый 45%, 200г;https://online.metro-cc.ru/products/brest-litovsk-45-200g-bzmzh;199.0;;БРЕСТ-ЛИТОВСК
247663;Сыр Радость вкуса Топленое молочко полутвердый 45%, 180г;https://online.metro-cc.ru/products/180g-syr-45-radost-vkusa-toplenoe-molochko-bzmzh;198.0;179.0;РАДОСТЬ ВКУСА
213553;Сыр творожный Natura Pro Сливочный 65%, 2кг;https://online.metro-cc.ru/products/2kg-syr-myagkiy-65-natura-pro-slivochnyy-bzmzh;1.129;;NATURA PRO
225247;Сыр Ламбер легкий полутвердый 30%, 230г;https://online.metro-cc.ru/products/230g-syr-30-lamber-legkiy-bzmzh;329.0;;ЛАМБЕР
